background_test_set_detections	background_test_set_hit_count	background_test_set_objects	featureType	hardNegFrac	hard_negative_test_set_detections	hard_negative_test_set_hit_count	hard_negative_test_set_objects	number	posFrac	positive_test_set_cropped_detections	positive_test_set_cropped_hit_count	positive_test_set_cropped_objects	precision	recall
304	0	0	LBP	0.3	58	0	0	9300	0.4	316	316	1206	0.466076696165	0.262023217247
117	0	0	HAAR	0.15	40	0	0	9300	0.4	424	424	1206	0.729776247849	0.351575456053
356	0	0	LBP	0.05	140	0	0	9300	0.4	456	456	1206	0.478991596639	0.378109452736
160	0	0	HAAR	0.4	23	0	0	9300	0.4	340	340	1206	0.650095602294	0.28192371476
304	0	0	LBP	0.25	36	0	0	9300	0.4	342	342	1206	0.50146627566	0.283582089552
304	0	0	LBP	0.1	82	0	0	9300	0.4	395	395	1206	0.50576184379	0.327529021559
140	0	0	HAAR	0.25	34	0	0	9300	0.4	391	391	1206	0.69203539823	0.324212271973
396	0	0	LBP	0.45	47	0	0	9300	0.4	303	303	1206	0.406166219839	0.251243781095
81	0	0	HAAR	0.1	58	0	0	9300	0.4	401	401	1206	0.742592592593	0.332504145937
114	0	0	HAAR	0.35	27	0	0	9300	0.4	289	289	1206	0.672093023256	0.239635157546
132	0	0	HAAR	0.45	21	0	0	9300	0.4	316	316	1206	0.673773987207	0.262023217247
437	0	0	LBP	0.5	47	0	0	9300	0.4	322	322	1206	0.399503722084	0.266998341625
429	0	0	LBP	0.4	47	0	0	9300	0.4	298	298	1206	0.385012919897	0.247097844113
118	0	0	HAAR	0.2	32	0	0	9300	0.4	344	344	1206	0.696356275304	0.285240464345
159	0	0	HAAR	0.0	337	0	0	9300	0.4	639	639	1206	0.562995594714	0.529850746269
172	0	0	HAAR	0.5	16	0	0	9300	0.4	315	315	1206	0.626242544732	0.261194029851
141	0	0	HAAR	0.3	21	0	0	9300	0.4	298	298	1206	0.647826086957	0.247097844113
142	0	0	HAAR	0.05	94	0	0	9300	0.4	483	483	1206	0.671766342142	0.400497512438
317	0	0	LBP	0.35	48	0	0	9300	0.4	342	342	1206	0.483734087694	0.283582089552
323	0	0	LBP	0.2	73	0	0	9300	0.4	330	330	1206	0.454545454545	0.273631840796
411	0	0	LBP	0.0	258	0	0	9300	0.4	622	622	1206	0.481797056545	0.515754560531
368	0	0	LBP	0.15	92	0	0	9300	0.4	406	406	1206	0.468822170901	0.336650082919
