name,number,posFrag,hardNegFrac,fullset,type,hitrate
scheme_1,2000,0.33,0,0,HAAR,0.090909091
scheme_2,2000,0.33,0.25,0,HAAR,0.064935065
scheme_3,2000,0.33,0.25,0,HAAR,0.164502165
scheme_4,4000,0.5,0.2,1,HAAR,0.199134199
scheme_5,3500,0.5,0,1,HAAR,0.203463203
lbp_1,2000,0.33,0,0,LBP,0.017316017
lbp_2,2000,0.33,0.25,0,LBP,0.03030303
lbp_3,2000,0.33,0.25,0,LBP,0.047619048
lbp_4,4000,0.5,0.2,1,LBP,0.060606061
lbp_5,3500,0.5,0,1,LBP,0.082251082
hog_1,2000,0.33,0,0,HOG,0.012987013
hog_2,2000,0.33,0.25,0,HOG,0.008658009
hog_3,2000,0.33,0.25,0,HOG,0.025974026
hog_4,4000,0.5,0.2,1,HOG,0.03030303
hog_5,3500,0.5,0,1,HOG,0.051948052
